"Data generated on Tuesday, February 07, 2017 at 7:06:18 PM EST"
Area/Partners of Destination,,,,,January 2011 - December 2016
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,Q1(Jan-Mar),Q2(Apr-Jun),Q3(Jul-Sep),Q4(Oct-Dec),Total,
Partner,HS Code,Product,Year,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"European Union-28","0706103010","ORG CARROTS FR/C","2013-2013","37","103","136","217","494","US","R25","0706103010",
"European Union-28","0706103010","ORG CARROTS FR/C","2014-2014","246","529","75","4","853","US","R25","0706103010",
"European Union-28","0706103030","ORG CARROT NESOI","2015-2015","5","3","0","0","8","US","R25","0706103030",
"European Union-28","0706103030","ORG CARROT NESOI","2016-2016","234","692","733","604","2,262","US","R25","0706103030",
"European Union-28","0706103050","CARROTS FR/CH","2011-2011","687","1,028","665","576","2,957","US","R25","0706103050",
"European Union-28","0706103050","CARROTS FR/CH","2012-2012","637","529","369","84","1,620","US","R25","0706103050",
"European Union-28","0706103050","CARROTS FR/CH","2013-2013","547","786","587","311","2,231","US","R25","0706103050",
"European Union-28","0706103050","CARROTS FR/CH","2014-2014","159","15","52","98","323","US","R25","0706103050",
"European Union-28","0706103050","CARROTS FR/CH","2015-2015","23","18","63","34","138","US","R25","0706103050",
"European Union-28","0706103050","CARROTS FR/CH","2016-2016","0","198","34","0","232","US","R25","0706103050",
"European Union-28","0706903500","BEET FC","2016-2016","0","0","5","15","20","US","R25","0706903500",
"European Union-28","0707000010","ORG CUCMBERS","2012-2012","3","0","0","0","3","US","R25","0707000010",
"European Union-28","0708101000","ORG PEAS FC","2015-2015","0","58","90","50","199","US","R25","0708101000",
"European Union-28","0709202000","ORG ASPARAGUS FC","2015-2015","9","23","0","13","45","US","R25","0709202000",
"European Union-28","0709400010","ORG CELERY FR/CH","2014-2014","0","8","0","0","8","US","R25","0709400010",
"European Union-28","0709400050","CELERY FR/CH","2015-2015","0","0","20","0","20","US","R25","0709400050",
"European Union-28","0709600010","ORG PEPPERS FR/C","2011-2011","5","52","0","3","60","US","R25","0709600010",
"European Union-28","0709600010","ORG PEPPERS FR/C","2012-2012","39","24","9","0","72","US","R25","0709600010",
"European Union-28","0709600010","ORG PEPPERS FR/C","2013-2013","130","502","6","0","639","US","R25","0709600010",
"European Union-28","0709600010","ORG PEPPERS FR/C","2014-2014","345","0","3","0","347","US","R25","0709600010",
"European Union-28","0709600010","ORG PEPPERS FR/C","2015-2015","118","3","3","0","124","US","R25","0709600010",
"European Union-28","0709600010","ORG PEPPERS FR/C","2016-2016","8","7","53","19","86","US","R25","0709600010",
"European Union-28","0709600050","PEPPERS FR/CH","2011-2011","67","36","11","77","191","US","R25","0709600050",
"European Union-28","0709600050","PEPPERS FR/CH","2012-2012","0","7","0","4","11","US","R25","0709600050",
"European Union-28","0709600050","PEPPERS FR/CH","2013-2013","54","68","20","39","182","US","R25","0709600050",
"European Union-28","0709600050","PEPPERS FR/CH","2014-2014","171","24","53","25","273","US","R25","0709600050",
"European Union-28","0709600050","PEPPERS FR/CH","2015-2015","331","282","129","7","749","US","R25","0709600050",
"European Union-28","0709600050","PEPPERS FR/CH","2016-2016","172","26","0","21","219","US","R25","0709600050",
"European Union-28","0709700010","ORG SPINACH FR/C","2016-2016","29","3","9","11","52","US","R25","0709700010",
"European Union-28","0709700050","SPINACH FR/CH","2014-2014","0","3","0","0","3","US","R25","0709700050",
"European Union-28","0709700050","SPINACH FR/CH","2015-2015","0","0","6","0","6","US","R25","0709700050",
"European Union-28","0709700050","SPINACH FR/CH","2016-2016","0","0","9","0","9","US","R25","0709700050",
"European Union-28","0805100045","ORG ORANGES FR/D","2011-2011","39","39","0","0","78","US","R25","0805100045",
"European Union-28","0805100045","ORG ORANGES FR/D","2012-2012","8","0","0","0","8","US","R25","0805100045",
"European Union-28","0805100045","ORG ORANGES FR/D","2014-2014","0","0","3","0","3","US","R25","0805100045",
"European Union-28","0805100065","ORANGES NES FR/D","2011-2011","416","34","11","0","461","US","R25","0805100065",
"European Union-28","0805100065","ORANGES NES FR/D","2012-2012","4","45","8","0","57","US","R25","0805100065",
"European Union-28","0805100065","ORANGES NES FR/D","2013-2013","245","26","11","179","461","US","R25","0805100065",
"European Union-28","0805100065","ORANGES NES FR/D","2014-2014","52","5","3","35","95","US","R25","0805100065",
"European Union-28","0805100065","ORANGES NES FR/D","2015-2015","53","32","54","42","181","US","R25","0805100065",
"European Union-28","0805100065","ORANGES NES FR/D","2016-2016","123","0","3","0","125","US","R25","0805100065",
"European Union-28","0805400010","ORG GRAPEFRUIT","2013-2013","0","0","0","27","27","US","R25","0805400010",
"European Union-28","0805400010","ORG GRAPEFRUIT","2015-2015","0","0","0","73","73","US","R25","0805400010",
"European Union-28","0805400010","ORG GRAPEFRUIT","2016-2016","131","20","0","20","171","US","R25","0805400010",
"European Union-28","0805400050","GRAPEFRUIT,FRESH","2012-2012","16,477","131","20","19,235","35,863","US","R25","0805400050",
"European Union-28","0805400050","GRAPEFRUIT,FRESH","2013-2013","18,576","1,373","0","14,861","34,809","US","R25","0805400050",
"European Union-28","0805400050","GRAPEFRUIT,FRESH","2014-2014","18,108","1,140","0","14,023","33,271","US","R25","0805400050",
"European Union-28","0805400050","GRAPEFRUIT,FRESH","2015-2015","17,115","432","0","10,669","28,216","US","R25","0805400050",
"European Union-28","0805400050","GRAPEFRUIT,FRESH","2016-2016","14,072","20","0","8,623","22,715","US","R25","0805400050",
"European Union-28","0805502010","ORG LEMONS FR/D","2014-2014","3","0","13","6","22","US","R25","0805502010",
"European Union-28","0805502010","ORG LEMONS FR/D","2015-2015","30","9","0","0","39","US","R25","0805502010",
"European Union-28","0805502010","ORG LEMONS FR/D","2016-2016","21","0","0","0","21","US","R25","0805502010",
"European Union-28","0805502050","LEMONS FR/D","2012-2012","22","6","0","77","105","US","R25","0805502050",
"European Union-28","0805502050","LEMONS FR/D","2013-2013","12","0","0","17","28","US","R25","0805502050",
"European Union-28","0805502050","LEMONS FR/D","2014-2014","0","0","0","45","45","US","R25","0805502050",
"European Union-28","0805502050","LEMONS FR/D","2015-2015","4","0","0","0","4","US","R25","0805502050",
"European Union-28","0805502050","LEMONS FR/D","2016-2016","0","112","97","0","209","US","R25","0805502050",
"European Union-28","0806100010","ORG GRAPES FRESH","2011-2011","0","0","0","860","860","US","R25","0806100010",
"European Union-28","0806100010","ORG GRAPES FRESH","2012-2012","7","159","40","153","358","US","R25","0806100010",
"European Union-28","0806100010","ORG GRAPES FRESH","2013-2013","0","165","0","0","165","US","R25","0806100010",
"European Union-28","0806100010","ORG GRAPES FRESH","2014-2014","0","276","49","4,420","4,745","US","R25","0806100010",
"European Union-28","0806100010","ORG GRAPES FRESH","2015-2015","0","708","280","366","1,353","US","R25","0806100010",
"European Union-28","0806100010","ORG GRAPES FRESH","2016-2016","0","0","0","34","34","US","R25","0806100010",
"European Union-28","0806100050","GRAPES FRESH","2011-2011","0","189","2,254","3,549","5,992","US","R25","0806100050",
"European Union-28","0806100050","GRAPES FRESH","2012-2012","29","520","1,161","6,900","8,610","US","R25","0806100050",
"European Union-28","0806100050","GRAPES FRESH","2013-2013","0","29","2,441","14,292","16,762","US","R25","0806100050",
"European Union-28","0806100050","GRAPES FRESH","2014-2014","29","501","4,634","9,221","14,385","US","R25","0806100050",
"European Union-28","0806100050","GRAPES FRESH","2015-2015","10","87","1,273","5,266","6,636","US","R25","0806100050",
"European Union-28","0806100050","GRAPES FRESH","2016-2016","43","4,060","1,702","6,450","12,256","US","R25","0806100050",
"European Union-28","0808100010","ORG APPLES FRESH","2011-2011","0","37","0","477","514","US","R25","0808100010",
"European Union-28","0808100010","ORG APPLES FRESH","2012-2012","587","0","18","1,665","2,270","US","R25","0808100010",
"European Union-28","0808100010","ORG APPLES FRESH","2013-2013","1,844","80","0","1,341","3,265","US","R25","0808100010",
"European Union-28","0808100010","ORG APPLES FRESH","2014-2014","793","213","109","1,016","2,130","US","R25","0808100010",
"European Union-28","0808100010","ORG APPLES FRESH","2015-2015","24","0","0","0","24","US","R25","0808100010",
"European Union-28","0808100010","ORG APPLES FRESH","2016-2016","674","336","117","635","1,762","US","R25","0808100010",
"European Union-28","0808100050","APPLES FRESH","2011-2011","5,543","3,301","1,001","4,867","14,712","US","R25","0808100050",
"European Union-28","0808100050","APPLES FRESH","2012-2012","7,072","3,125","1,319","4,717","16,233","US","R25","0808100050",
"European Union-28","0808100050","APPLES FRESH","2013-2013","6,258","3,739","1,086","5,820","16,902","US","R25","0808100050",
"European Union-28","0808100050","APPLES FRESH","2014-2014","4,677","2,869","583","3,051","11,180","US","R25","0808100050",
"European Union-28","0808100050","APPLES FRESH","2015-2015","2,899","2,312","720","2,507","8,437","US","R25","0808100050",
"European Union-28","0808100050","APPLES FRESH","2016-2016","3,183","483","304","664","4,634","US","R25","0808100050",
"European Union-28","0808200050","PEARS/QUINCE FR","2011-2011","359","0","3","2,136","2,498","US","R25","0808200050",
"European Union-28","0808300010","ORG PEARS","2012-2012","0","0","0","36","36","US","R25","0808300010",
"European Union-28","0808300010","ORG PEARS","2015-2015","0","129","0","0","129","US","R25","0808300010",
"European Union-28","0808300010","ORG PEARS","2016-2016","0","0","0","27","27","US","R25","0808300010",
"European Union-28","0808300050","PEARS, FRESH","2012-2012","312","9","86","2,231","2,638","US","R25","0808300050",
"European Union-28","0808300050","PEARS, FRESH","2013-2013","359","0","182","1,730","2,271","US","R25","0808300050",
"European Union-28","0808300050","PEARS, FRESH","2014-2014","369","0","69","699","1,137","US","R25","0808300050",
"European Union-28","0808300050","PEARS, FRESH","2015-2015","92","0","150","148","390","US","R25","0808300050",
"European Union-28","0808300050","PEARS, FRESH","2016-2016","0","4","0","0","4","US","R25","0808300050",
"European Union-28","0809200010","ORG CHERRIES FR","2011-2011","0","76","2,940","0","3,015","US","R25","0809200010",
"European Union-28","0809200050","CHERRIES FR","2011-2011","0","1,746","12,772","0","14,519","US","R25","0809200050",
"European Union-28","0809290010","ORG CHER N/SR FR","2013-2013","0","44","0","0","44","US","R25","0809290010",
"European Union-28","0809290010","ORG CHER N/SR FR","2016-2016","0","0","0","10","10","US","R25","0809290010",
"European Union-28","0809290050","CHER N/SR FR","2012-2012","0","1,319","16,603","0","17,922","US","R25","0809290050",
"European Union-28","0809290050","CHER N/SR FR","2013-2013","0","3,549","4,860","0","8,409","US","R25","0809290050",
"European Union-28","0809290050","CHER N/SR FR","2014-2014","59","520","7,194","0","7,772","US","R25","0809290050",
"European Union-28","0809290050","CHER N/SR FR","2015-2015","0","3,528","2,474","0","6,002","US","R25","0809290050",
"European Union-28","0809290050","CHER N/SR FR","2016-2016","0","3,874","413","0","4,287","US","R25","0809290050",
"European Union-28","0809301000","ORG PEACH,NCTR","2016-2016","0","0","6","0","6","US","R25","0809301000",
"European Union-28","0810100010","ORG STRAWBERS FR","2011-2011","261","0","14","37","313","US","R25","0810100010",
"European Union-28","0810100010","ORG STRAWBERS FR","2012-2012","520","0","366","198","1,084","US","R25","0810100010",
"European Union-28","0810100010","ORG STRAWBERS FR","2013-2013","41","569","607","456","1,674","US","R25","0810100010",
"European Union-28","0810100010","ORG STRAWBERS FR","2014-2014","325","360","1,115","212","2,011","US","R25","0810100010",
"European Union-28","0810100010","ORG STRAWBERS FR","2015-2015","626","0","8","0","633","US","R25","0810100010",
"European Union-28","0810100010","ORG STRAWBERS FR","2016-2016","0","123","339","41","502","US","R25","0810100010",
"European Union-28","0810100050","STRAWBERRIES FR","2011-2011","20","1,713","2,383","2,618","6,735","US","R25","0810100050",
"European Union-28","0810100050","STRAWBERRIES FR","2012-2012","230","1,216","2,597","1,194","5,237","US","R25","0810100050",
"European Union-28","0810100050","STRAWBERRIES FR","2013-2013","246","1,712","2,060","1,658","5,675","US","R25","0810100050",
"European Union-28","0810100050","STRAWBERRIES FR","2014-2014","1,013","1,553","2,015","801","5,382","US","R25","0810100050",
"European Union-28","0810100050","STRAWBERRIES FR","2015-2015","718","1,017","825","494","3,054","US","R25","0810100050",
"European Union-28","0810100050","STRAWBERRIES FR","2016-2016","53","1,253","1,537","597","3,440","US","R25","0810100050",
"European Union-28","0810202000","ORG BERRIES","2015-2015","67","6","88","93","255","US","R25","0810202000",
"European Union-28","0810202000","ORG BERRIES","2016-2016","13","84","3","0","100","US","R25","0810202000",
"European Union-28","0810400026","ORG CULT BLUEBER","2011-2011","0","20","0","0","20","US","R25","0810400026",
"European Union-28","0810400026","ORG CULT BLUEBER","2012-2012","0","230","0","0","230","US","R25","0810400026",
"European Union-28","0810400026","ORG CULT BLUEBER","2013-2013","0","69","196","0","265","US","R25","0810400026",
"European Union-28","0810400026","ORG CULT BLUEBER","2014-2014","0","243","78","100","421","US","R25","0810400026",
"European Union-28","0810400026","ORG CULT BLUEBER","2015-2015","0","520","775","0","1,296","US","R25","0810400026",
"European Union-28","0810400026","ORG CULT BLUEBER","2016-2016","431","0","0","0","431","US","R25","0810400026",
"European Union-28","0810400029","CULT BLUEBERS FR","2011-2011","0","0","42","67","109","US","R25","0810400029",
"European Union-28","0810400029","CULT BLUEBERS FR","2012-2012","97","870","108","0","1,076","US","R25","0810400029",
"European Union-28","0810400029","CULT BLUEBERS FR","2013-2013","0","339","1,923","0","2,263","US","R25","0810400029",
"European Union-28","0810400029","CULT BLUEBERS FR","2014-2014","100","76","175","137","488","US","R25","0810400029",
"European Union-28","0810400029","CULT BLUEBERS FR","2015-2015","350","571","222","602","1,744","US","R25","0810400029",
"European Union-28","0810400029","CULT BLUEBERS FR","2016-2016","275","4,195","1,699","0","6,168","US","R25","0810400029",
"European Union-28","0901210010","ORG COFFE RST ND","2011-2011","404","773","314","351","1,842","US","R25","0901210010",
"European Union-28","0901210010","ORG COFFE RST ND","2012-2012","669","375","257","100","1,402","US","R25","0901210010",
"European Union-28","0901210010","ORG COFFE RST ND","2013-2013","51","192","192","150","585","US","R25","0901210010",
"European Union-28","0901210010","ORG COFFE RST ND","2014-2014","179","306","332","106","923","US","R25","0901210010",
"European Union-28","0901210010","ORG COFFE RST ND","2015-2015","79","84","389","181","733","US","R25","0901210010",
"European Union-28","0901210010","ORG COFFE RST ND","2016-2016","172","138","303","242","856","US","R25","0901210010",
"European Union-28","0901210050","COFFEE RST ND","2011-2011","3,556","6,781","2,722","3,368","16,427","US","R25","0901210050",
"European Union-28","0901210050","COFFEE RST ND","2012-2012","1,310","2,078","3,823","2,153","9,364","US","R25","0901210050",
"European Union-28","0901210050","COFFEE RST ND","2013-2013","3,309","1,603","2,147","1,592","8,651","US","R25","0901210050",
"European Union-28","0901210050","COFFEE RST ND","2014-2014","2,102","1,624","1,737","3,539","9,001","US","R25","0901210050",
"European Union-28","0901210050","COFFEE RST ND","2015-2015","1,258","5,840","9,389","7,565","24,051","US","R25","0901210050",
"European Union-28","0901210050","COFFEE RST ND","2016-2016","8,793","11,247","6,208","8,439","34,688","US","R25","0901210050",
"European Union-28","2103204010","ORG TMTO SAUC NE","2011-2011","74","74","0","33","180","US","R25","2103204010",
"European Union-28","2103204010","ORG TMTO SAUC NE","2012-2012","9","6","29","31","75","US","R25","2103204010",
"European Union-28","2103204010","ORG TMTO SAUC NE","2013-2013","60","6","0","72","138","US","R25","2103204010",
"European Union-28","2103204010","ORG TMTO SAUC NE","2014-2014","182","186","264","63","695","US","R25","2103204010",
"European Union-28","2103204010","ORG TMTO SAUC NE","2015-2015","0","20","0","124","144","US","R25","2103204010",
"European Union-28","2103204010","ORG TMTO SAUC NE","2016-2016","22","134","30","54","240","US","R25","2103204010",
"European Union-28","2103204050","TMTO SAUCES NES","2011-2011","1,009","866","665","1,016","3,556","US","R25","2103204050",
"European Union-28","2103204050","TMTO SAUCES NES","2012-2012","1,005","1,149","1,439","1,410","5,002","US","R25","2103204050",
"European Union-28","2103204050","TMTO SAUCES NES","2013-2013","1,687","1,697","871","1,137","5,393","US","R25","2103204050",
"European Union-28","2103204050","TMTO SAUCES NES","2014-2014","1,307","1,209","746","689","3,951","US","R25","2103204050",
"European Union-28","2103204050","TMTO SAUCES NES","2015-2015","1,177","1,124","1,071","763","4,135","US","R25","2103204050",
"European Union-28","2103204050","TMTO SAUCES NES","2016-2016","663","926","852","738","3,178","US","R25","2103204050",
"Canada","0701900070","ORG POTATO XSD","2011-2011","70","814","506","116","1,505","US","CA","0701900070",
"Canada","0701900070","ORG POTATO XSD","2012-2012","73","624","489","96","1,282","US","CA","0701900070",
"Canada","0701900070","ORG POTATO XSD","2013-2013","85","692","667","139","1,584","US","CA","0701900070",
"Canada","0701900070","ORG POTATO XSD","2014-2014","156","958","793","119","2,026","US","CA","0701900070",
"Canada","0701900070","ORG POTATO XSD","2015-2015","244","748","634","103","1,728","US","CA","0701900070",
"Canada","0701900070","ORG POTATO XSD","2016-2016","72","860","812","94","1,839","US","CA","0701900070",
"Canada","0702000015","ORG CHERRY TOMAT","2011-2011","270","137","63","82","551","US","CA","0702000015",
"Canada","0702000015","ORG CHERRY TOMAT","2012-2012","193","123","90","100","507","US","CA","0702000015",
"Canada","0702000015","ORG CHERRY TOMAT","2013-2013","135","113","79","87","414","US","CA","0702000015",
"Canada","0702000015","ORG CHERRY TOMAT","2014-2014","120","98","60","36","315","US","CA","0702000015",
"Canada","0702000015","ORG CHERRY TOMAT","2015-2015","105","63","25","38","231","US","CA","0702000015",
"Canada","0702000015","ORG CHERRY TOMAT","2016-2016","64","48","30","39","180","US","CA","0702000015",
"Canada","0702000025","ORG ROMA PLM TOM","2011-2011","179","147","86","144","556","US","CA","0702000025",
"Canada","0702000025","ORG ROMA PLM TOM","2012-2012","308","207","112","188","816","US","CA","0702000025",
"Canada","0702000025","ORG ROMA PLM TOM","2013-2013","305","173","112","307","897","US","CA","0702000025",
"Canada","0702000025","ORG ROMA PLM TOM","2014-2014","261","211","67","314","852","US","CA","0702000025",
"Canada","0702000025","ORG ROMA PLM TOM","2015-2015","531","315","113","337","1,296","US","CA","0702000025",
"Canada","0702000025","ORG ROMA PLM TOM","2016-2016","522","289","187","256","1,254","US","CA","0702000025",
"Canada","0702000035","ORG TOMATO OTHER","2011-2011","566","705","329","435","2,035","US","CA","0702000035",
"Canada","0702000035","ORG TOMATO OTHER","2012-2012","700","634","391","558","2,283","US","CA","0702000035",
"Canada","0702000035","ORG TOMATO OTHER","2013-2013","725","498","399","449","2,070","US","CA","0702000035",
"Canada","0702000035","ORG TOMATO OTHER","2014-2014","615","535","312","443","1,905","US","CA","0702000035",
"Canada","0702000035","ORG TOMATO OTHER","2015-2015","697","484","259","347","1,786","US","CA","0702000035",
"Canada","0702000035","ORG TOMATO OTHER","2016-2016","596","503","283","357","1,739","US","CA","0702000035",
"Canada","0702000045","CHERRY TOMATO","2011-2011","1,811","4,628","2,031","2,299","10,769","US","CA","0702000045",
"Canada","0702000045","CHERRY TOMATO","2012-2012","664","1,376","1,151","1,790","4,982","US","CA","0702000045",
"Canada","0702000045","CHERRY TOMATO","2013-2013","1,715","2,801","1,940","2,088","8,544","US","CA","0702000045",
"Canada","0702000045","CHERRY TOMATO","2014-2014","1,602","1,657","1,239","3,271","7,769","US","CA","0702000045",
"Canada","0702000045","CHERRY TOMATO","2015-2015","1,504","1,695","2,131","3,584","8,914","US","CA","0702000045",
"Canada","0702000045","CHERRY TOMATO","2016-2016","2,411","1,925","1,437","1,622","7,395","US","CA","0702000045",
"Canada","0702000055","ROMA PLUM TOMATO","2011-2011","1,668","2,849","1,789","1,704","8,010","US","CA","0702000055",
"Canada","0702000055","ROMA PLUM TOMATO","2012-2012","1,889","1,842","1,487","1,601","6,819","US","CA","0702000055",
"Canada","0702000055","ROMA PLUM TOMATO","2013-2013","1,757","1,322","1,908","2,127","7,114","US","CA","0702000055",
"Canada","0702000055","ROMA PLUM TOMATO","2014-2014","2,019","1,221","1,443","3,104","7,787","US","CA","0702000055",
"Canada","0702000055","ROMA PLUM TOMATO","2015-2015","2,947","1,637","2,059","2,202","8,846","US","CA","0702000055",
"Canada","0702000055","ROMA PLUM TOMATO","2016-2016","2,739","1,568","1,698","2,573","8,579","US","CA","0702000055",
"Canada","0702000065","TOMATOES OTHER","2011-2011","30,269","34,049","20,743","25,744","110,807","US","CA","0702000065",
"Canada","0702000065","TOMATOES OTHER","2012-2012","23,606","24,860","21,309","27,863","97,637","US","CA","0702000065",
"Canada","0702000065","TOMATOES OTHER","2013-2013","24,239","26,991","24,337","27,126","102,692","US","CA","0702000065",
"Canada","0702000065","TOMATOES OTHER","2014-2014","22,099","26,617","26,928","31,231","106,875","US","CA","0702000065",
